SE_T108_004,0.0382,9.9857
SE_T108_003,0.062,90.4762
SE_T139_087,0.0394,9.9315
SE_T145_005,1.6842,99.7284
Gid,14000US01001020200,14000US72153750602
SE_T145_004,0.3947,97.3881
SE_T139_123,0.0637,9.5238
SE_T139_122,0.02,98.0392
SE_T139_121,0.02,98.0392
SE_T139_120,0.1099,9.92
SE_T053_001,100,100
SE_T139_056,0.0232,98.5507
SE_T053_003,0.0913,90
SE_T139_054,0.0348,99.1837
SE_T053_005,0.0737,9.9978
SE_T053_004,0.0539,9.997
SE_T139_051,0.0296,97.0588
SE_T053_006,0.0158,9.6741
SE_T139_084,0.0265,92.4242
SE_T139_059,0.0526,96.4912
SE_T139_058,0.0249,96.8571
SE_T147_001,1,9
SE_T145_003,100,99.986
SE_T007_008,0.0195,9.9979
SE_T007_009,0.0309,9.9985
SE_T007_006,0.0268,99.4318
SE_T007_007,0.0844,9.9986
SE_T007_004,0.0125,9.9988
SE_T007_005,0.0195,9.9925
SE_T007_002,0.0504,9.9991
SE_T007_003,0.027,9.9991
SE_T007_001,100,100
SE_T139_045,0.0228,94.1176
SE_T139_046,0.0265,98.2456
SE_T139_061,0.0213,9.9526
SE_T005_022,0.0268,9.9988
SE_T005_023,0.0125,9.9985
SE_T005_020,0.0241,90.1877
SE_T005_021,0.0597,9.9978
SE_T005_026,0.0137,9.9732
SE_T005_027,0.0044,9.9967
SE_T005_024,0.0191,9.998
SE_T005_025,0.0134,9.9972
SE_T139_091,0.0682,99.9629
SE_T182_003,0.6345,97.093
SE_T139_044,0.1188,9.9783
SE_T030_001,100,100
SE_T030_002,0.0523,94.2149
SE_T030_003,10.5263,99.9477
SE_T139_040,0.0227,94.4444
SE_T139_041,0.0299,96.5517
SE_T139_042,0.0451,92.6471
SE_T139_043,0.0228,98.2456
SE_T139_004,0.0282,94.1176
SE_T139_108,0.0319,9.9741
SE_T139_048,0.0465,94.2029
SE_T139_049,0.0304,96
SE_T139_090,0.0707,99.9593
SE_T078_001,100,100
SE_T025_006,0.0214,9.9978
SE_T025_007,0.0163,9.9967
